Id,MSSubClass,MSZoning,LotFrontage,LotArea,Utilities,Neighborhood,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,Foundation,BsmtExposure,Electrical,BsmtFullBath,BsmtHalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageCars,GarageArea,PavedDrive,PoolArea,Fence,YrSold,SalePrice
0,30,RL,64.0,4219,AllPub,BrkSide,Norm,1Fam,1Story,3,1935,2003,Gable,CBlock,No,SBrkr,0.0,0.0,2,TA,Maj2,0,,0.0,27.0,N,0,,2008,52169.8259183625
1,20,RL,88.0,12089,AllPub,ClearCr,Norm,1Fam,1Story,6,1968,1968,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,1,Attchd,2.0,549.0,Y,0,,2006,156971.36260516196
2,20,RL,,8588,AllPub,Sawyer,Norm,1Fam,1Story,5,1961,1961,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Detchd,2.0,759.0,Y,0,,2009,123374.49662789951
3,60,FV,73.0,8214,AllPub,Somerst,Norm,1Fam,2Story,7,2006,2006,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,641.0,Y,0,,2006,197036.95190426914
4,50,RL,66.0,8499,AllPub,Edwards,Norm,1Fam,1.5Fin,5,1910,1996,Gambrel,PConc,No,SBrkr,0.0,0.0,5,TA,Typ,0,,0.0,27.0,N,0,,2006,81062.33037813843
5,60,RL,,9294,AllPub,NoRidge,Norm,1Fam,2Story,6,1990,1991,Hip,PConc,No,SBrkr,1.0,0.0,4,Gd,Typ,2,Attchd,2.0,500.0,Y,0,,2008,276191.047152058
6,90,RL,90.0,11159,AllPub,Mitchel,Norm,Duplex,1Story,7,1988,1989,Gable,CBlock,No,SBrkr,0.0,0.0,5,TA,Typ,0,2Types,3.0,793.0,Y,0,,2006,171189.0563726894
7,120,RL,73.0,8858,AllPub,NridgHt,Norm,TwnhsE,1Story,9,2008,2008,Hip,PConc,No,SBrkr,1.0,0.0,1,Ex,Typ,1,Attchd,3.0,1079.0,Y,0,,2008,367388.5650619337
8,60,FV,,7589,AllPub,Somerst,Norm,1Fam,2Story,7,2002,2002,Gable,PConc,No,SBrkr,0.0,0.0,3,TA,Typ,1,Attchd,2.0,496.0,Y,0,,2008,211129.70227347084
9,70,RM,68.0,7607,AllPub,IDOTRR,Norm,1Fam,2Story,5,1910,2004,Gable,BrkTil,No,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,1.0,417.0,N,0,MnPrv,2006,109400.43008154572
10,20,RL,,10545,AllPub,NWAmes,Norm,1Fam,1Story,6,1967,1967,Hip,CBlock,No,SBrkr,1.0,0.0,4,TA,Typ,0,Attchd,2.0,562.0,Y,0,,2010,192902.6514413764
11,70,RM,65.0,8183,AllPub,OldTown,Norm,1Fam,2Story,6,1915,1950,Gable,PConc,No,FuseA,0.0,0.0,3,TA,Typ,0,Detchd,2.0,603.0,Y,0,,2009,148180.1661629135
12,50,RM,58.0,7089,AllPub,IDOTRR,Norm,1Fam,1.5Fin,6,1926,1950,Hip,PConc,No,SBrkr,0.0,1.0,3,TA,Typ,0,Detchd,2.0,533.0,Y,0,MnPrv,2006,143914.10170162172
13,20,RL,85.0,9409,AllPub,NAmes,Norm,1Fam,1Story,4,1959,1959,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,,0.0,27.0,Y,0,,2010,128995.90184938403
14,20,RL,99.0,11867,AllPub,CollgCr,Norm,1Fam,1Story,9,2008,2008,Hip,PConc,Gd,SBrkr,1.0,0.0,3,Ex,Typ,2,Attchd,3.0,1375.0,Y,0,,2008,353320.2689140636
15,60,RL,106.0,12292,AllPub,NoRidge,Norm,1Fam,2Story,8,1998,1999,Hip,PConc,No,SBrkr,1.0,0.0,4,Gd,Typ,1,Attchd,3.0,703.0,Y,0,,2009,336035.96392501396
16,160,FV,38.0,3269,AllPub,Somerst,Norm,TwnhsE,2Story,7,2007,2007,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Detchd,2.0,567.0,Y,0,,2008,146612.75941186358
17,60,RL,,9108,AllPub,SawyerW,Norm,1Fam,2Story,6,1994,1994,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,499.0,Y,0,,2006,151767.48103490588
18,20,RL,68.0,8159,AllPub,CollgCr,Norm,1Fam,1Story,4,1994,1995,Gable,PConc,No,SBrkr,1.0,0.0,3,TA,Typ,0,,0.0,27.0,Y,0,,2007,123630.83149737104
19,60,RL,,8099,AllPub,Gilbert,Norm,1Fam,2Story,7,2002,2003,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,BuiltIn,2.0,427.0,Y,0,,2008,193841.62012690835
20,20,RL,73.0,6589,AllPub,Edwards,Norm,1Fam,1Story,6,1976,1976,Hip,CBlock,No,SBrkr,0.0,1.0,3,TA,Typ,1,Detchd,2.0,507.0,Y,0,,2008,148451.3223398745
21,70,RL,68.0,9173,AllPub,Edwards,Norm,1Fam,2Story,4,1940,1950,Gable,CBlock,Mn,SBrkr,1.0,0.0,4,TA,Typ,1,Detchd,1.0,323.0,P,0,MnPrv,2009,108119.91793286263
22,20,RL,78.0,8839,AllPub,NAmes,Norm,1Fam,1Story,5,1956,1956,Gable,CBlock,No,SBrkr,0.0,1.0,3,TA,Typ,0,Attchd,1.0,331.0,Y,0,GdWo,2009,122315.3524161077
23,60,RL,,17631,AllPub,Veenker,Norm,1Fam,2Story,7,1974,2003,Gable,CBlock,Gd,SBrkr,1.0,0.0,3,Gd,Typ,2,Attchd,2.0,545.0,Y,0,MnPrv,2007,294215.71102170885
24,160,RM,29.0,1769,AllPub,BrDale,Norm,Twnhs,2Story,6,1971,1971,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,,0.0,27.0,N,0,,2006,91544.69231328175
25,20,RH,68.0,8489,AllPub,SawyerW,Norm,1Fam,1Story,4,1950,1950,Gable,CBlock,No,SBrkr,0.0,0.0,2,TA,Typ,0,CarPort,1.0,321.0,N,0,,2009,82078.49214261839
26,120,RL,53.0,6353,AllPub,StoneBr,Norm,1Fam,1Story,8,1997,1997,Gable,PConc,Mn,SBrkr,1.0,0.0,1,Gd,Min1,1,Attchd,2.0,555.0,Y,0,,2008,252766.8491482789
27,50,RM,58.0,6089,AllPub,BrkSide,Norm,1Fam,1.5Fin,6,1939,1950,Gable,BrkTil,No,SBrkr,1.0,0.0,2,TA,Typ,0,Detchd,1.0,267.0,Y,0,MnPrv,2010,112617.86472585045
28,50,RL,68.0,9827,AllPub,Edwards,Norm,1Fam,1.5Fin,5,1924,1950,Gable,BrkTil,No,SBrkr,1.0,0.0,4,TA,Typ,0,Attchd,1.0,419.0,Y,0,,2006,104968.76129532575
29,60,RL,84.0,9680,AllPub,NridgHt,Norm,1Fam,2Story,8,2004,2005,Gable,PConc,Av,SBrkr,0.0,0.0,4,Gd,Typ,1,BuiltIn,3.0,879.0,Y,0,,2007,317107.7539368292
30,30,RL,73.0,7987,AllPub,NAmes,Norm,1Fam,1Story,4,1920,1994,Gable,BrkTil,No,SBrkr,0.0,1.0,2,TA,Typ,0,Detchd,2.0,703.0,N,0,,2010,105340.6754982724
31,20,RL,87.0,9505,AllPub,Somerst,Norm,1Fam,1Story,7,2007,2007,Hip,PConc,No,SBrkr,1.0,0.0,3,Ex,Typ,1,Attchd,3.0,813.0,Y,0,,2007,312034.82049225166
32,20,RL,96.0,12892,AllPub,CollgCr,Norm,1Fam,1Story,7,2002,2002,Gable,PConc,Mn,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,557.0,Y,0,,2008,221067.48022232385
33,20,RL,98.0,14773,AllPub,SawyerW,Norm,1Fam,1Story,7,1990,1991,Hip,CBlock,Mn,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,3.0,728.0,Y,0,,2009,272074.36982790305
34,20,RL,,12824,AllPub,NAmes,Norm,1Fam,1Story,4,1972,1972,Hip,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,2.0,603.0,Y,0,MnWw,2008,111250.4868268721
35,70,RH,63.0,8614,AllPub,SWISU,Norm,1Fam,2Story,5,1911,1950,Gable,PConc,Av,FuseA,0.0,0.0,4,TA,Typ,0,,0.0,27.0,N,0,,2008,130399.96597167672
36,75,RL,,11977,AllPub,BrkSide,Norm,1Fam,2.5Unf,6,1916,1994,Gable,BrkTil,No,FuseA,0.0,0.0,5,Gd,Typ,0,Detchd,2.0,468.0,Y,0,,2009,214557.90673680624
37,20,RL,108.0,10093,AllPub,NAmes,Norm,1Fam,1Story,6,1964,1964,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,2.0,499.0,Y,0,,2009,167067.86300898364
38,70,RL,75.0,8866,AllPub,Edwards,Norm,1Fam,2Story,4,1910,2000,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Min1,0,Attchd,2.0,555.0,Y,0,,2006,113590.83369291904
39,60,RL,59.0,8118,AllPub,Gilbert,Norm,1Fam,2Story,6,2005,2005,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,427.0,Y,0,,2008,176304.4967407383
40,20,FV,83.0,7589,AllPub,Somerst,Norm,1Fam,1Story,8,2006,2007,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,1,Attchd,2.0,719.0,Y,0,,2009,222125.6680645748
41,30,RL,75.0,5693,AllPub,Edwards,Norm,1Fam,1Story,5,1925,1950,Gable,CBlock,No,FuseA,1.0,0.0,2,TA,Typ,0,,0.0,27.0,Y,0,,2008,98390.29512575745
42,20,RL,78.0,7089,AllPub,NAmes,Norm,1Fam,1Story,5,1961,1961,Hip,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,1.0,315.0,Y,0,,2006,130051.16416052858
43,50,RM,67.0,5399,AllPub,OldTown,Norm,1Fam,1.5Fin,6,1910,2003,Hip,CBlock,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Attchd,1.0,282.0,Y,0,,2006,117149.40968053657
44,45,RL,93.0,12261,AllPub,NAmes,Norm,1Fam,1.5Unf,5,1940,1996,Gable,PConc,No,SBrkr,0.0,0.0,2,TA,Typ,0,Attchd,2.0,539.0,Y,0,MnPrv,2007,126593.92086329749
45,60,FV,108.0,13251,AllPub,Somerst,Norm,1Fam,2Story,9,2006,2006,Gable,PConc,No,SBrkr,1.0,0.0,3,Ex,Typ,1,Attchd,3.0,819.0,Y,0,,2006,386010.2750794955
46,20,RL,98.0,11609,AllPub,NridgHt,Norm,1Fam,1Story,9,2005,2005,Hip,PConc,No,SBrkr,0.0,0.0,3,Ex,Typ,1,Attchd,3.0,757.0,Y,0,,2010,287597.52650241513
47,160,RM,29.0,1769,AllPub,BrDale,Norm,Twnhs,2Story,5,1971,1971,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,1.0,307.0,Y,0,,2009,112001.41404879492
48,20,RL,83.0,8339,AllPub,NAmes,Norm,1Fam,1Story,6,1964,1964,Hip,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Attchd,2.0,531.0,Y,0,MnPrv,2008,145031.66470341908
49,50,RL,65.0,7647,AllPub,Crawfor,Norm,1Fam,1.5Fin,6,1928,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,3,TA,Typ,1,Detchd,2.0,369.0,Y,0,,2009,177042.60711027178
50,20,RL,82.0,5957,AllPub,NAmes,Norm,1Fam,1Story,5,1956,2000,Gable,CBlock,No,SBrkr,1.0,0.0,2,TA,Typ,0,Attchd,1.0,335.0,Y,0,,2010,129087.16681777158
51,50,RL,,159089,AllPub,ClearCr,Norm,1Fam,1.5Fin,6,1958,2006,Gable,CBlock,Gd,SBrkr,0.0,1.0,4,Gd,Typ,2,Attchd,2.0,416.0,Y,0,,2007,277174.10464345856
52,70,RL,68.0,10889,AllPub,OldTown,Norm,1Fam,2Story,5,1895,1999,Gable,CBlock,Av,SBrkr,0.0,0.0,3,Gd,Typ,0,,0.0,27.0,N,0,,2007,132804.72529448816
53,20,RL,,11421,AllPub,NAmes,Norm,1Fam,1Story,5,1960,2000,Gable,CBlock,No,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,1.0,291.0,Y,0,MnPrv,2008,149802.58602715892
54,50,RM,58.0,5089,AllPub,BrkSide,Norm,1Fam,1.5Fin,5,1941,2006,Gable,CBlock,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Detchd,1.0,267.0,P,0,,2008,119196.79605611473
55,20,RL,,13584,AllPub,NAmes,Norm,1Fam,1Story,5,1956,1956,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Min1,1,Detchd,2.0,603.0,Y,0,,2009,163014.68177314056
56,20,RL,157.0,20047,AllPub,Timber,Norm,1Fam,1Story,6,1958,1995,Hip,CBlock,No,SBrkr,0.0,0.0,4,Gd,Typ,1,Attchd,2.0,488.0,Y,0,GdPrv,2007,221918.9193192525
57,20,RL,108.0,21839,AllPub,Mitchel,Norm,1Fam,1Story,5,1954,1954,Hip,CBlock,No,FuseA,0.0,0.0,2,TA,Typ,0,Attchd,2.0,547.0,N,0,,2008,113307.44144938444
58,80,RM,84.0,11889,AllPub,OldTown,Norm,1Fam,SLvl,4,1949,2002,Gable,Slab,,SBrkr,0.0,0.0,1,TA,Mod,1,Attchd,1.0,411.0,Y,0,,2007,116279.85114970013
59,60,RL,138.0,16989,AllPub,NridgHt,Norm,1Fam,2Story,8,2001,2002,Gable,PConc,Mn,SBrkr,1.0,0.0,4,Gd,Typ,1,Attchd,3.0,773.0,Y,0,,2008,352968.26583873824
60,120,RM,,4524,AllPub,CollgCr,Norm,TwnhsE,1Story,6,2003,2004,Gable,PConc,Av,SBrkr,1.0,0.0,1,Gd,Typ,0,Attchd,2.0,447.0,Y,0,,2009,144123.7569824666
61,30,RL,64.0,4149,AllPub,Edwards,Norm,1Fam,1Story,5,1922,1950,Gable,PConc,No,SBrkr,0.0,0.0,2,TA,Typ,0,,0.0,27.0,Y,0,,2009,99974.42808604709
62,60,RL,,10921,AllPub,Gilbert,Norm,1Fam,2Story,7,1994,1996,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,2.0,436.0,Y,0,,2008,194621.68562688972
63,20,RL,108.0,15352,AllPub,ClearCr,Norm,1Fam,1Story,5,1959,1959,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,2,Attchd,1.0,392.0,Y,0,,2010,158033.61805698683
64,120,RL,51.0,3271,AllPub,Blmngtn,Norm,TwnhsE,1Story,8,2004,2005,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,1,Attchd,2.0,457.0,Y,0,,2010,192049.53865580945
65,45,RM,65.0,7538,AllPub,IDOTRR,Norm,1Fam,1.5Unf,7,1930,1950,Gable,PConc,No,FuseF,0.0,0.0,3,Gd,Typ,1,Attchd,1.0,307.0,N,0,GdPrv,2007,139402.13151742925
66,30,RM,38.0,5321,AllPub,OldTown,Norm,1Fam,1Story,5,1925,2004,Gable,BrkTil,No,FuseP,0.0,0.0,2,TA,Typ,0,Detchd,2.0,531.0,N,0,,2008,73038.84823660812
